name,lpbclbf,lvrxcp,lzas,hvihzwx,ljhp,fqnjg,whq,rnz
evcgzky,5817.000000,9853.000000,3507.000000,770.000000,3518.000000,9776.000000,6976.000000,4190.000000
mpwrp,1345.000000,5675.000000,8089.000000,5691.000000,7211.000000,3967.000000,9519.000000,5040.000000
tzwv,7288.000000,2954.000000,4386.000000,4994.000000,1415.000000,2464.000000,8566.000000,6802.000000
bwposon,7942.000000,1791.000000,8575.000000,9089.000000,9588.000000,574.000000,9548.000000,527.000000
peqbp,814.000000,1791.000000,1703.000000,288.000000,3507.000000,9472.000000,3878.000000,1131.000000
vkacqmu,9180.000000,234.000000,7606.000000,84.000000,1961.000000,902.000000,1095.000000,1250.000000
vvygu,9454.000000,4753.000000,941.000000,7317.000000,3022.000000,2703.000000,6809.000000,5124.000000
jnkzk,3782.000000,6489.000000,3622.000000,7041.000000,7068.000000,2888.000000,3026.000000,8240.000000
vejwxn,9393.000000,2468.000000,5010.000000,2615.000000,5530.000000,3168.000000,1332.000000,2799.000000
srcpban,3572.000000,2596.000000,1018.000000,3251.000000,8445.000000,3984.000000,7737.000000,4860.000000
bac,7590.000000,4451.000000,1549.000000,9588.000000,2786.000000,8168.000000,1118.000000,158.000000
fddpjlz,1763.000000,9930.000000,3774.000000,4272.000000,5137.000000,2462.000000,7642.000000,4318.000000
kjfrzq,6680.000000,397.000000,5976.000000,7131.000000,6094.000000,9884.000000,1746.000000,6359.000000
zfdaer,5604.000000,8055.000000,6499.000000,5107.000000,9659.000000,7071.000000,5470.000000,248.000000
esaxc,5044.000000,3741.000000,1294.000000,3945.000000,9852.000000,3773.000000,9354.000000,7865.000000
whsy,814.000000,1706.000000,7156.000000,702.000000,1161.000000,7343.000000,7824.000000,1479.000000
twz,2747.000000,4133.000000,6955.000000,4529.000000,4817.000000,7727.000000,4153.000000,2357.000000
olmd,6461.000000,2871.000000,7846.000000,5268.000000,8795.000000,7882.000000,3476.000000,5197.000000
kvwqv,7853.000000,5111.000000,2387.000000,8910.000000,6457.000000,1322.000000,1680.000000,8082.000000
ogl,8557.000000,5777.000000,5987.000000,2780.000000,6689.000000,2404.000000,3452.000000,5180.000000
lcjsri,1658.000000,5012.000000,9546.000000,209.000000,9544.000000,8672.000000,1279.000000,3032.000000
llshw,9087.000000,9638.000000,3320.000000,6293.000000,5897.000000,2201.000000,5056.000000,988.000000
yuxmcuq,6060.000000,1731.000000,9822.000000,9890.000000,5477.000000,3748.000000,1754.000000,7231.000000
rpus,188.000000,7700.000000,9059.000000,4601.000000,6128.000000,8473.000000,1760.000000,3472.000000
krsi,7315.000000,5203.000000,8580.000000,5652.000000,2025.000000,8694.000000,6268.000000,1651.000000
xlxpd,6124.000000,3588.000000,176.000000,5394.000000,3484.000000,1330.000000,663.000000,262.000000
lbd,7385.000000,2357.000000,1865.000000,3450.000000,7649.000000,7649.000000,9442.000000,8090.000000
wmu,4748.000000,9518.000000,5539.000000,1412.000000,464.000000,3423.000000,539.000000,8885.000000
mlkeuwy,1916.000000,2566.000000,4951.000000,6656.000000,626.000000,2801.000000,8395.000000,7111.000000
eocwg,5783.000000,9037.000000,5776.000000,825.000000,1578.000000,9595.000000,1695.000000,5341.000000
